"la","year","sex","c_35","c_50","c_65","c_80"
"E06000001",2002,"female",0.0995364794869763,0.108372252720448,0.130405120414262,0.113884984112809
"E06000001",2002,"male",0.0958764973656444,0.0989395417074637,0.0961176437916332,0.0810254637451366
"E06000001",2003,"female",0.0934676290460977,0.104958638725209,0.101868966658129,0.135238934577171
"E06000001",2003,"male",0.0982480485652802,0.100915188980953,0.103042342678274,0.113756939595132
"E06000001",2004,"female",0.0930900091035962,0.0954836166770658,0.103981497987589,0.142319675106374
"E06000001",2004,"male",0.0897686323490601,0.0960452121336192,0.106429523068378,0.108492553239977
"E06000001",2005,"female",0.100944328333081,0.10525521851721,0.111863024982943,0.123286809716865
"E06000001",2005,"male",0.0952517596527466,0.0892931594361697,0.0996784333934265,0.0825923544889194
"E06000001",2006,"female",0.0911653291356627,0.109543166616107,0.115795963374703,0.119626278391539
"E06000001",2006,"male",0.101632967485048,0.103908939700196,0.0996257104596222,0.0777754430446085
"E06000001",2007,"female",0.0952451934883369,0.108037918012983,0.109920709976561,0.174450870203244
"E06000001",2007,"male",0.0926548914609725,0.105790473163649,0.0946408143878934,0.125923450117855
"E06000001",2008,"female",0.0926987623867978,0.105907667314852,0.114328490143943,0.141620369967736
"E06000001",2008,"male",0.104744165106945,0.104024732918506,0.104262335613807,0.12316488656648
"E06000001",2009,"female",0.0928517160426161,0.105043877858314,0.131453942788648,0.127220541955803
"E06000001",2009,"male",0.0902373480552683,0.103125757776427,0.0912620570175763,0.118516780620819
"E06000001",2010,"female",0.0891591961553104,0.108017367595274,0.102689321617406,0.104048965762802
"E06000001",2010,"male",0.0852893581005306,0.0989023415809107,0.107660527508945,0.13917358100502
"E06000001",2011,"female",0.0904672417449909,0.105302924408803,0.123967097562648,0.114372279341853
"E06000001",2011,"male",0.0888407352089782,0.108202882311557,0.108858659840362,0.121603249726844
"E06000001",2012,"female",0.0893581820882566,0.103103204126844,0.107602572082817,0.21700496743853
"E06000001",2012,"male",0.0919725576509295,0.103455718118215,0.106884724289924,0.145666758283022
"E06000001",2013,"female",0.0874003245877187,0.0936424246084262,0.113098111858437,0.143366504409316
"E06000001",2013,"male",0.0882782160669096,0.10050358412315,0.0894885345281472,0.155873913300523
"E06000002",2002,"female",0.103116146912874,0.102003088936265,0.110171523507602,0.121080989588586
"E06000002",2002,"male",0.0955073491890172,0.0977272224976757,0.0962382613904105,0.0882606173611931
"E06000002",2003,"female",0.0968020330058305,0.0932774848234095,0.109188593579927,0.115982886044896
"E06000002",2003,"male",0.10092068362891,0.0989385539351593,0.095051411394183,0.0772627423587437
"E06000002",2004,"female",0.0940985344947875,0.107421290897252,0.104769531635847,0.121021504304752
"E06000002",2004,"male",0.0960470290135152,0.0976443565383012,0.0955061892670143,0.0971865143103845
"E06000002",2005,"female",0.0922706751512645,0.105564518332934,0.113821190465849,0.101355743547567
"E06000002",2005,"male",0.096473580648751,0.101118421755643,0.104947180581171,0.0909262985514236
"E06000002",2006,"female",0.0972026456304974,0.106035132085984,0.112730828143941,0.0781674682363865
"E06000002",2006,"male",0.0977029375332157,0.0951906329390647,0.0999100479773615,0.0897479569048587
"E06000002",2007,"female",0.0957138807903941,0.0951511860402812,0.106681880381659,0.119910915153798
"E06000002",2007,"male",0.0870414421203171,0.0972012488876044,0.102909131005133,0.107726651191039
"E06000002",2008,"female",0.0987658731919723,0.105391474159025,0.106036826581995,0.139210664971114
"E06000002",2008,"male",0.0946215335569394,0.0952731444118292,0.104468387717012,0.0982126775356213
"E06000002",2009,"female",0.0974417508876835,0.107191195350557,0.115880754962809,0.128550705312208
"E06000002",2009,"male",0.0889635062332191,0.0980962830516208,0.107333680243058,0.119624169835575
"E06000002",2010,"female",0.0932058563891914,0.102547715118955,0.118290703384682,0.168040231330471
"E06000002",2010,"male",0.0909218298073994,0.101748046637897,0.117070995399718,0.113798441384973
"E06000002",2011,"female",0.0978559197525864,0.0991192819234528,0.126457139270711,0.128347973083542
"E06000002",2011,"male",0.0929872466533895,0.101391386967262,0.105628644153557,0.121494832582487
"E06000002",2012,"female",0.093256819680146,0.108733545919398,0.10485347858283,0.115028584175171
"E06000002",2012,"male",0.0940508208706033,0.105167120568129,0.0988319241508283,0.121324555976465
"E06000002",2013,"female",0.0921631835778478,0.107160426290743,0.125002337088051,0.152286101543476
"E06000002",2013,"male",0.0955473624651653,0.100614099104993,0.108168064325267,0.137559889004222
"E06000003",2002,"female",0.102547293387262,0.104097286043826,0.109669007150622,0.134740247337842
"E06000003",2002,"male",0.111905362294726,0.110803421714341,0.105872283794815,0.0898719670030913
"E06000003",2003,"female",0.0991517775815463,0.107086162976028,0.111801317280275,0.125253339949757
"E06000003",2003,"male",0.100199768653653,0.107333334356853,0.112021588150245,0.123081350435977
"E06000003",2004,"female",0.0967967922014022,0.103298120807925,0.104372110533027,0.129233741465383
"E06000003",2004,"male",0.0980990164665681,0.0993516404429519,0.104085474456586,0.0969302379363318
"E06000003",2005,"female",0.0943333421159652,0.104803145226032,0.11061246959364,0.131785910267353
"E06000003",2005,"male",0.0948423004440997,0.102396993997013,0.103030519949779,0.137003605854929
"E06000003",2006,"female",0.0941821966331849,0.101916594297276,0.101747576667162,0.118021609766189
"E06000003",2006,"male",0.0963790271390832,0.107720618497919,0.112680906792701,0.139022942141314
"E06000003",2007,"female",0.0925964621560213,0.102018777459996,0.106437663532912,0.165552027879485
"E06000003",2007,"male",0.0969247611908752,0.0992771441286238,0.104017117578384,0.144873548936135
"E06000003",2008,"female",0.0946816741725891,0.112850235729774,0.118141436024051,0.112974295020397
"E06000003",2008,"male",0.0956913849258173,0.101928639144362,0.110153564363887,0.127488361388711
"E06000003",2009,"female",0.100740048421874,0.107246921636075,0.118716670166923,0.125956390022572
"E06000003",2009,"male",0.0991496798964916,0.0990977802210546,0.108312774193682,0.125805825364941
"E06000003",2010,"female",0.0848492705996548,0.0939499602330098,0.118777245582599,0.143130362367267
"E06000003",2010,"male",0.0910267431932242,0.10815697262763,0.102865914873244,0.104328837116881
"E06000003",2011,"female",0.0966378275984326,0.106258363924381,0.112942254076906,0.120481583719599
"E06000003",2011,"male",0.093276199000591,0.104451415158642,0.111606576969346,0.0929137164166822
"E06000003",2012,"female",0.0936126934880926,0.0936718069125893,0.11901326027573,0.144927083305638
"E06000003",2012,"male",0.0927828292943017,0.103156594912753,0.102460610028096,0.100239507391054
"E06000003",2013,"female",0.0869101827730891,0.0978550172081172,0.112951611325088,0.165638712144716
"E06000003",2013,"male",0.100626910077645,0.111165436748722,0.117209140865728,0.137122296234262
"E06000004",2002,"female",0.101886551279847,0.10639645387073,0.108429535917221,0.120482819362844
"E06000004",2002,"male",0.101595083139158,0.101752180350277,0.103767968709768,0.110081224457618
"E06000004",2003,"female",0.112560454676801,0.106587577624774,0.13173018144803,0.111222962812749
"E06000004",2003,"male",0.109177818065505,0.106876771559286,0.10333422784173,0.116171792232012
"E06000004",2004,"female",0.0978185388401072,0.103415418832973,0.115132728982044,0.115456651379447
"E06000004",2004,"male",0.0987211725261504,0.105713368841622,0.0968258966865665,0.114424264315104
"E06000004",2005,"female",0.104858325530005,0.11669369605497,0.118923188837851,0.125003161243603
"E06000004",2005,"male",0.0966898675066715,0.104122835652882,0.106755122817433,0.100665758727969
"E06000004",2006,"female",0.0976093911130899,0.10921924767912,0.117404651800619,0.125549677004299
"E06000004",2006,"male",0.0971591047558736,0.106939713473044,0.110251592598964,0.0898213681671614
"E06000004",2007,"female",0.108988375239297,0.10998718380651,0.126903021720364,0.128021749700703
